leaf,s
MESH:C535989,7.694400000000002
MESH:C535990,11.638080000000006
MESH:C535991,10.988864000000003
MESH:C535992,19.457600000000003
MESH:C535993,9.474163200000001
MESH:C535994,11.001152000000003
MESH:C535995,11.632960000000006
MESH:C535996,18.289871360000006
MESH:C535998,5.844800000000001
MESH:C536000,12.047680000000003
MESH:C536001,3.3616
MESH:C536002,4.104000000000001
MESH:C536003,2.9520000000000004
MESH:C536004,4.904
MESH:C536005,5.25088
MESH:C536006,4.5136
MESH:C536008,7.377984000000001
MESH:C536010,10.332224000000004
MESH:C536011,5.2785280000000006
MESH:C536012,8.002880000000001
MESH:C536013,14.218560000000005
MESH:C536014,7.593024000000003
MESH:C536015,6.172480000000002
MESH:C536016,6.172480000000002
MESH:C536017,6.172480000000002
MESH:C536018,6.172480000000002
MESH:C536019,6.172480000000002
MESH:C536020,11.350080000000005
